"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Donna15N: My luvz are out @Brazil Well you guyz did well,much love from one of your awesomest fans since 1994 when my eyes didn't know…",FALSE,0,NA,2018-07-07 05:35:40,FALSE,NA,"1015469377490210816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","blessmo02985854",1,TRUE,FALSE,NA,NA
"RT @mcbenedict7: @kafuihattoh @Brazil Ahahahaha..that's why your bias towards them. Lol",FALSE,0,NA,2018-07-07 05:35:04,FALSE,NA,"1015469225740308480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kafuihattoh",1,TRUE,FALSE,NA,NA
"@kafuihattoh @Brazil Ahahahaha..that's why your bias towards them. Lol",FALSE,1,"kafuihattoh",2018-07-07 05:33:33,FALSE,"1015468466902650881","1015468842351554560","2236516234","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mcbenedict7",1,FALSE,FALSE,NA,NA
"@mcbenedict7 @Brazil I just don't like the 3 lions <f0><U+009F><U+00A6><U+0081> I want them home lol",FALSE,1,"mcbenedict7",2018-07-07 05:32:03,FALSE,"1015468136756400130","1015468466902650881","1536170995","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kafuihattoh",0,FALSE,FALSE,NA,NA
"@kafuihattoh @Brazil Well! Just like we did yesterday, but for this one I can bet on the Three Lions or sail through",FALSE,1,"kafuihattoh",2018-07-07 05:30:44,FALSE,"1015467362102005760","1015468136756400130","2236516234","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mcbenedict7",0,FALSE,FALSE,NA,NA
"@mcbenedict7 @Brazil I tell you bro ... so much surprises in the World Cup.",FALSE,1,"mcbenedict7",2018-07-07 05:29:56,FALSE,"1015467662133121024","1015467933588426752","1536170995","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kafuihattoh",0,FALSE,FALSE,NA,NA
"RT @mcbenedict7: @kafuihattoh @Brazil Very sure! Indeed it's time to separate the men from the boys. We're surely in for a rather suprising…",FALSE,0,NA,2018-07-07 05:29:11,FALSE,NA,"1015467745159340032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kafuihattoh",1,TRUE,FALSE,NA,NA
"RT @ArsenalMoh8: Brazil have gone from the sheer brilliance and joy of @Ronaldo &amp; @10Ronaldinho, to the tedious playacting &amp; diving of @ney…",FALSE,0,NA,2018-07-07 05:29:10,FALSE,NA,"1015467741044727808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mayedul93",30,TRUE,FALSE,NA,NA
"@kafuihattoh @Brazil Very sure! Indeed it's time to separate the men from the boys. We're surely in for a rather suprising finals",FALSE,1,"kafuihattoh",2018-07-07 05:28:51,FALSE,"1015467096921255936","1015467662133121024","2236516234","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mcbenedict7",1,FALSE,FALSE,NA,NA
"@mcbenedict7 @Brazil Also in today's game Russia n England with be kicked out of the #WorldCup2018",FALSE,0,"mcbenedict7",2018-07-07 05:27:40,FALSE,"1015423871204446208","1015467362102005760","1536170995","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kafuihattoh",0,FALSE,FALSE,NA,NA
"@mcbenedict7 @Brazil Yes ooooo football is a beautiful game ..... congratulations to Belgium <f0><U+009F><U+0087><U+00A7><f0><U+009F><U+0087><U+00AA> beating the living… https://t.co/K4W6cNSudv",FALSE,0,"mcbenedict7",2018-07-07 05:26:37,TRUE,"1015423871204446208","1015467096921255936","1536170995","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kafuihattoh",0,FALSE,FALSE,NA,NA
"RT @mcbenedict7: @kafuihattoh @Brazil Yes! You did predict so. Congrats. 
Nonetheless, we watched a rather fantastic piece of football on t…",FALSE,0,NA,2018-07-07 05:24:06,FALSE,NA,"1015466463518478336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kafuihattoh",1,TRUE,FALSE,NA,NA
"Now this is funny.  Although I was cheering for @Brazil @BigSportsBrekky https://t.co/21u2HIwc1L",FALSE,3,NA,2018-07-07 05:23:23,FALSE,NA,"1015466284459290624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TK_BSB",0,FALSE,FALSE,NA,NA
"RT @nevsu_: TO BE CONTINUED @BRAZIL https://t.co/pFPAPiodRB",FALSE,0,NA,2018-07-07 05:13:34,FALSE,NA,"1015463814479974400",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","crossez_paths",5,TRUE,FALSE,NA,NA
"RT @welly75479308: <f0><U+009F><U+0098><U+0082> hilarious <f0><U+009F><U+0098><U+0086> #Neymar #FifaWorldCup2018 #WorldCupRussia2018  @fifaworldcup_ar @BBCMOTD @FIFAWorldCup @Belgianfootball @B…",FALSE,0,NA,2018-07-07 05:06:49,FALSE,NA,"1015462116067864576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","i_sarwat",19,TRUE,FALSE,NA,NA
"RT @welly75479308: <f0><U+009F><U+0098><U+0082> hilarious <f0><U+009F><U+0098><U+0086> #Neymar #FifaWorldCup2018 #WorldCupRussia2018  @fifaworldcup_ar @BBCMOTD @FIFAWorldCup @Belgianfootball @B…",FALSE,0,NA,2018-07-07 05:05:58,FALSE,NA,"1015461900925091840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Takecini1996",19,TRUE,FALSE,NA,NA
"shit of damn goal! taste of damn loser! @Brazil",FALSE,0,NA,2018-07-07 05:03:20,FALSE,NA,"1015461237612687360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RabiulN",0,FALSE,FALSE,NA,NA
"Don't worry @Brazil I am always with you.I will be always a Brazil supporter",FALSE,0,NA,2018-07-07 04:55:59,FALSE,NA,"1015459388088188928",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Hemal15328061",0,FALSE,FALSE,NA,NA
"@Brazil you played really well appreciate your game.
There was some miss passing and the @belgium national team goa… https://t.co/QZXgpx2UCO",FALSE,0,"Brazil",2018-07-07 04:55:29,TRUE,NA,"1015459264775839744","1176695388","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nikhilchande1",0,FALSE,FALSE,NA,NA
"@mmalusu @CarolRadull Yes, yes, just that. The drama Queen @neymarjr is out and back to @Brazil @BrazilStat 
Tiz… https://t.co/4SOEPltqJn",FALSE,0,"mmalusu",2018-07-07 04:55:23,TRUE,"1015323781634633731","1015459238771089408","364912256","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mcgriffins4",0,FALSE,FALSE,NA,NA
"RT @Wangwowuwo: Bye-bye Brazil <f0><U+009F><U+0087><U+00A7><f0><U+009F><U+0087><U+00B7>... We all miss you so much!... Thanks for eveything. Keep on... <U+52A0><U+6CB9>!<U+52A0><U+6CB9>!<f0><U+009F><U+0098><U+008A>

<U+26BD><f0><U+009F><U+00A5><U+0085>Watch ""Brazil v Belgium - 2018…",FALSE,0,NA,2018-07-07 04:54:11,FALSE,NA,"1015458934834880512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Wangwowuwo",1,TRUE,FALSE,NA,NA
"@FIFAWorldCup @Brazil are out! And how...a selfie that ended it! Go  @HKane @englandsoccer",FALSE,0,"FIFAWorldCup",2018-07-07 04:53:18,FALSE,NA,"1015458715388923904","138372303","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","akdas79",0,FALSE,FALSE,NA,NA
"@Brazil and @neymarjr you’ve been #BELGIUMSTRUCK in @FIFAWorldCup enjoy it.  @FOXSports @AlexiLalas https://t.co/g5rqeRgVAN via @YouTube",FALSE,0,"Brazil",2018-07-07 04:51:13,FALSE,NA,"1015458189649772544","1176695388","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tbobdilla",0,FALSE,FALSE,NA,NA
